,Title,Discription,Institution,Course Duration,Data of Commencement,online session
0,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM ROHTAK,5 Months,"30th October, 2022",Blended Learning
1,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM ROHTAK,5 Months,14th,"28th August, 2022"
2,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM ROHTAK,5 Months,2ND,"15th September, 2019"
3,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM ROHTAK,5 Months,12th,"10th July, 2022"
4,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM ROHTAK,5 Months,10TH,"5th June, 2022"
5,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM KASHIPUR,5 Months,7TH,"10th July, 2022"
6,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM KASHIPUR,12 Months,IIM Alumni Status,"11th April, 2021"
7,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM KASHIPUR,6 Months,5th,"9th January, 2022"
8,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM KASHIPUR,5 Months,Top Faculty Panel,coming soon
9,Advanced Project Management and Strategic Leadership (APMSL),"Advanced Project Management and Strategic Leadership is divided into modules which will include application of knowledge, tools & techniques necessary to implement projects. The program will cover various body of knowledge in project management implemented globally. As a Project Leader you will learn managing stakeholders and uncertainty, building relationship for a value based project outcome. The program is designed to improve your knowledge and skills and make help you grow as Strategic Leader for decision making in project based environment      ",IIM KASHIPUR,5 Months,4th,24th September 2022
